name,address,rating,total_ratings,reviews
Henry's Pub Helsinki,"Mikonkatu 15, 00100 Helsinki, Finland",4.1,1788,"[{'author': 'Happy Tourist', 'rating': 5, 'text': 'I was searching for a good pub that serves chicken wings, and this came up as the best option of a few places.\nWent for it and was well pleased with food and reasonably priced drinks.\nThose visiting Helsinki should visit this place. Can get busy tho.', 'time': '5 months ago'}, {'author': 'Lorraine King', 'rating': 5, 'text': 'Great pub for a few pints and some bar food.\nWe had the pork schnitzel with waffle fries and the breaded chicken, and both were very tasty with nice dips as accompaniment.\nPrice seemed to be standard for Helsinki...€35 - 40 for both meals and €22 for 2 pints.\nGreat atmosphere, great music, pool table, and arcade game available, too.\nWe came back a second time as we enjoyed it so much!', 'time': '8 months ago'}, {'author': 'Angus Stewart', 'rating': 5, 'text': 'Friendly helpful staff, good choice of drinks and great burgers and wings. I went every day of my break there 👍', 'time': '6 months ago'}, {'author': 'amon zoran', 'rating': 5, 'text': 'Fast service, tasty food, and excellent choice of music, will visit again! The kitchen works at midnight!', 'time': '2 months ago'}, {'author': 'Oskari Rekola', 'rating': 3, 'text': 'Wings had gone too dry, prices up. Decent burger, fries lacked spirit, and salt. Beer + pub grub = 30€/pax. So you get less with more. Service was varying - out waiter was very much on point while the bar staff was frosty experience.', 'time': '3 months ago'}]"
Beer Restaurant Villi Wäinö,"Kalevankatu 4, 00100 Helsinki, Finland",4.1,1106,"[{'author': 'Dmitrii Kretinin', 'rating': 5, 'text': 'The cool pub. I got a lot of emotions. I tried new beers. Very good personal. Beautiful people.', 'time': 'in the last week'}, {'author': 'Orsini Sambo', 'rating': 5, 'text': 'Relaxed place for an after work drink, a get together with your pals, spouse, date or business partners, to discuss, flirt, celebrate or even just to have a drink on a very bad day.\nI might make it a Most everytime I come to Helsinki', 'time': '6 months ago'}, {'author': 'Esa Jalonen', 'rating': 5, 'text': 'Quite ok sauna. We spent a good time in the sauna of villi Wäinö. Nice service and friendly staff. After sauna we took couple of beers in a bar. Good selection of fine beers... Nice atmosphere🍺', 'time': '6 months ago'}, {'author': 'Domna Tzemi', 'rating': 4, 'text': 'Nice bar and spacious. Suitable for a big group. The staff were friendly and nice. Prices are good, at least for the house wine. I visited this bar during the week and it was quite busy, but not packed. I would like to go back some time.', 'time': '2 years ago'}, {'author': 'RE M', 'rating': 5, 'text': 'The place to go if you need a beer after midnight. Large variety of beers makes it really an olut-ravintola. Music is not as dark&heavy as across the street but more mainstream and very good along the beer. Toilets clean & good.\nKippis!', 'time': 'a year ago'}]"
Liberty or Death,"Erottajankatu 5, 00130 Helsinki, Finland",4.5,872,"[{'author': 'Joel Pagett', 'rating': 5, 'text': 'Liberty or Death is a great spot for a cocktail whilst in Helsinki. The bar is dark and moody, with a great selection of cocktails and spirits, all carefully made by their bar team.\n\nI sampled several of the cocktails whilst in Liberty or Death and found them all expertly made and served well. The staff were friendly and welcoming, and I found the whole experience very good. If you’re looking for great cocktails in Helsinki - you won’t go wrong with Liberty or Death.', 'time': 'a month ago'}, {'author': 'Sinan Akgul', 'rating': 4, 'text': 'Nice seating area outside and good service but the cocktails are very expensive and not many options in the menu. Of course they prepare classics.', 'time': 'a month ago'}, {'author': 'Nic Kalli', 'rating': 1, 'text': ""If you're a tourist avoid this place they steal your money. They have secret prices  and they ask almost double prices I pay for 3 jins with tonic and some olives 103 € . When I ask what is all this they say to me that they made special shots 3ple doses and excuses of the middle age. Stay away."", 'time': '2 months ago'}, {'author': 'Evan S', 'rating': 5, 'text': 'Would give this place 6 stars if I could! Finally found a great cocktail bar (which I had been struggling to find during our trip around Scandinavia)\n\nSat at the bar, and the bartender was amazing! She recommended a number of twists on drinks I like, and was super knowledgeable. I always love learning new things at a bar, and this place definitely delivered!\n\nHighly recommend!! (Also don’t drop the menu on your foot, you’ll see what I mean).', 'time': '2 years ago'}, {'author': 'AJ F', 'rating': 3, 'text': 'The cocktails were OK,not a bad spot for a quick cocktail.Service is pretty good.', 'time': '6 months ago'}]"
Bar Loose,"Annankatu 21, 00100 Helsinki, Finland",4.0,1227,"[{'author': 'Yacky Lau', 'rating': 5, 'text': ""Very good underground performance venue. The sound system is great, the DJ is great too, and the venue is large enough.  The bands is very good, I like heavy metal, death metal, black metal, it's very great. I spent a pleasant Friday night here. I love Helsinki, an important reason is because of these music"", 'time': '4 months ago'}, {'author': 'Tony Gray', 'rating': 4, 'text': 'Hard rock being play and lots of music memorabilia on the walls.\nDefo a place if you like your music hard.\nFriendly staff and nice beer.', 'time': '3 months ago'}, {'author': 'Neoprophet 13', 'rating': 5, 'text': 'Cosy place in downtown Helsinki. Good selection of beers, rock music and great decor. Staff very friendly.', 'time': '7 months ago'}, {'author': 'A V', 'rating': 5, 'text': 'Great place.  Cheap beers, good music and ambience.', 'time': '2 months ago'}, {'author': 'Elizabeth Toney', 'rating': 4, 'text': ""We went rather early so it was quite empty. Happy hour prices, 3.50 specials. Really nice environment, lots to look at. The bathroom grafiitti reminded me of metal bars back in the US. We didn't stay for the music downstairs, maybe next time."", 'time': '2 years ago'}]"
Base Bar,"Kalevankatu 3, 00100 Helsinki, Finland",4.4,574,"[{'author': 'Eric de Jong', 'rating': 5, 'text': 'We walked in and as soon as the sweet melodies of Machine Head penetrated our ears, we knew we would get drunk. The bartender with the nosering loved shots and threatened us with an axe if we didn’t take enough shots. Loved it. What a hero. We enjoyed metal, beers and shots all night. Threw up at the AirBnB when we came back. The next morning, the owner thanked us for “being so clean”. Epic. Then we flew back to the Netherlands. 100% recommend! 🙌🏼', 'time': '3 weeks ago'}, {'author': 'Casey Dent', 'rating': 5, 'text': 'Nice heavy metal bar in Helsinki. They played Meshuggah while I was there \\m/', 'time': 'a week ago'}, {'author': 'Pavel Bodiš', 'rating': 5, 'text': 'Nice bar with specifics atmosphere. They serve various beers 🍺 and drink. We had draft Cider. For 3€ they offer 🥜 peanuts or small pack of chips. The staff was very nice! Recommend visiting.', 'time': '2 years ago'}, {'author': 'Sean Young', 'rating': 4, 'text': 'Decent bar. Music OK. Sm9k8ng deck cool. More Finnish and swedish metal please.', 'time': '2 months ago'}, {'author': 'Katri Carneiro', 'rating': 3, 'text': ""A metal bar in the center of Helsinki. A bit pricey, beers are 7-10 euros. I understand it's maybe because of the location and their rent but the cramped interior combined to the prices does not make it a first choice."", 'time': '6 months ago'}]"
Molly Malone's Irish Bar,"Kaisaniemenkatu 1, 00100 Helsinki, Finland",4.0,2587,"[{'author': 'Anna Hietanen', 'rating': 4, 'text': 'Probably the most authentic Irish Pub in Helsinki with live music. They also have a lovely terrace in the back. Too bad that at the time it was too cold to sit there (but that\'s finnish summer for you).\n\nCame here to have a pint of Guinness as a ""dessert"" and was surprised by the extremely nice bar maid asking me if ""I wanted a picture on it"". I said sure and ended up with a randomly selected picture of the Dalai Lama wearing a flower wreath on it. It was so much fun, me and my friend had to order a second round. That time it was a panda and a lighthouse. I know it is a gimic, but like my friend said she would have never ordered a Guinness in the first place if it wasn\'t for the picture, so great job getting people hooked on Guinness! Will definitely come back just to show my other friends!', 'time': '3 months ago'}, {'author': 'Posa Bogdan', 'rating': 5, 'text': ""One of the best places in Helsinki.\n\nLive music, good beer lovely vibe.\n\nDon't believe me, come and see for yourself."", 'time': '6 months ago'}, {'author': 'Dimitris Greece', 'rating': 4, 'text': 'Lively Irish pub in the heart of Helsinki downtown. Friendly staff, wide variety of beers and very good guest artist with a live programme!', 'time': '4 months ago'}, {'author': 'Shawn Field', 'rating': 4, 'text': ""First time at this Irish bar in Helsinki. And it is exactly what a lively Irish pub should be and feel like on a Friday night! The second floor has a band stage and a bit of a dance floor. The space is perfectly sized for the acoustics. And for the love of good music, I couldn't tell you the Swedish 3-piece band that played last night, Fri Nov. 3, '23. But I believe they are here for a week of playing."", 'time': '10 months ago'}, {'author': 'R', 'rating': 5, 'text': 'Cozy bar with great atmosphere, good live music & awesome Guinness custom photo decor option🥰', 'time': '2 months ago'}]"
Kitty's Public House,"Mannerheimintie 5, 00100 Helsinki, Finland",4.2,1306,"[{'author': 'Domna Tzemi', 'rating': 4, 'text': 'Nice and quiet bar with comfy booths. I visited this place on a Saturday night and it was not too busy. The music is not too loud, therefore making conversations easier compared to loud bars. The staff were friendly enough.', 'time': 'a year ago'}, {'author': 'Matthew Herridge', 'rating': 5, 'text': 'Very cool place. Dark and underground. Lots of excellent beers on tap', 'time': '5 months ago'}, {'author': 'Mr T', 'rating': 4, 'text': 'Very nice and cozy place. Beautiful interior and a good selection of ales, beers and non alcoholic beverages. Can highly recommend.', 'time': 'a year ago'}, {'author': 'Alison Austin', 'rating': 3, 'text': 'We had wings and nachos.  The wings were crispy and the hot sauce was flavorful. The nachos were a bit of a disappointment.  They needed more of everything as you end up eating a lot of dry chips in the end.  Great atmosphere and good beer.', 'time': 'a year ago'}, {'author': 'David Godwin', 'rating': 5, 'text': 'Great British style pup! Minimal food, but great drinks in a laid back atmosphere', 'time': 'a month ago'}]"
Brewster Bar KALLIO,"Kaarlenkatu 1, 00530 Helsinki, Finland",4.1,780,"[{'author': 'Alan Dovnod', 'rating': 4, 'text': ""Nice little bar with a warm atmosphere and good music. Good price for regular beer, but quite expensive for anything else. They had Laguntias ipa on draught which tasted amazing, but at €9.80 a glass that's a star lost. Still one of the best bars in the area."", 'time': '5 months ago'}, {'author': 'Ivonne R.', 'rating': 4, 'text': ""Yeah, it's fine and fun. Good beer, good music (we were listening to Rush! ) and you can have a conversation because they don't have the volume very high. We had fun"", 'time': '6 months ago'}, {'author': 'Irene Laitinen', 'rating': 4, 'text': 'A very nice place to go have a drink or two with friends. Music was not too loud and you can actually have conversations here. Very cheap drinks as well. Overall a great place, I highly recommend it!', 'time': 'a month ago'}, {'author': 'Domna Tzemi', 'rating': 4, 'text': 'Very nice bar in Kallio. I visited this bar on a Saturday evening and it was quite busy. The music is not too loud so youncan have a pleasant chat with your friends. The staff were very friendly and nice. It is popular mostly to younger people. Prices are good, cheaper than the bars in town. The bar itself is nice and cosy. I will definitely go back again and again.', 'time': '2 years ago'}, {'author': 'Dominic Parkinson', 'rating': 5, 'text': ""Great bar, fantastic prices, asked the bar staff for an old fashioned cocktail. They said it wasn't on the menu. But on the spot, they made up a lovely old fashioned for me. Please give these guys a try."", 'time': 'a year ago'}]"
Restaurant Juova Hanahuone,"Kaisaniemenkatu 3 b, 00100 Helsinki, Finland",4.5,387,"[{'author': 'Gavin Scarman', 'rating': 5, 'text': 'I have no idea why you would drink beer anywhere else in Helsinki. The food is pretty cheap, filling, tasty, and the beer selection is excellent. The best thing that could happen to Finland is one of these pubs in all the ""ghost towns"" we drove through.', 'time': 'a week ago'}, {'author': 'Nicolaus Steiert', 'rating': 5, 'text': ""UMATCHED selection of Brewskies!\nThis place is SO FREAKIN KÜHL! There's so many dang beers that you're never going to get bored! The flavor-galaxy is enormous here!\nLots of local Finnish craft beers on Tap. I was surprised to find so many American Beers too! Evil Twin, Sierra Nevada, etc. The bottle selection was like a dream come true  for me since our selection is so lacking back home in the States😭😭😭\nStaff is Super Chill and the Vibes are the Definition of GAS! THANKS A BUNCH!\n-Nico"", 'time': 'in the last week'}, {'author': 'Stephen Gibson', 'rating': 5, 'text': 'Stopped in for a NEIPA. Was not disappointed, excellent range of NEIPA’s and was able to try before buying.', 'time': 'a week ago'}, {'author': 'Matthew Klein', 'rating': 5, 'text': 'This place has an excellent selection of European craft beers. I had the quesadilla and it tasted quite good. The bar tenders were friendly and helpful in choosing beers.', 'time': '4 months ago'}, {'author': 'Ryosuke Yunoki', 'rating': 5, 'text': 'I had the best Hot Dog 🌭 and craft beers experience🍺 EVER!!', 'time': '4 months ago'}]"
The Riff,"Iso Roobertinkatu 3, 00120 Helsinki, Finland",4.5,1301,"[{'author': 'Albert Vsc', 'rating': 4, 'text': 'Nice bar where you can drink a good beer and listen rock/heavy metal music. It is located in the city center of Helsinki and there is a wide range of beers and drinks. On the walls there are some guitars and paintings of famous musicians like Slash and the famous Finnish heavy metal band Nightwish. The staff is young and friendly. A must visit if you are a fan of heavy metal music.', 'time': '6 months ago'}, {'author': 'vlospa kasbe', 'rating': 5, 'text': 'Excellent! Super fast and friendly service, fine selection of beers and shots, a very nicely decorated place and the pure metal music makes the atmosphere there ideal to enjoy a metal night.', 'time': '4 months ago'}, {'author': 'Ramiro Agustin Palacios', 'rating': 5, 'text': ""Amazing rock bar, the best music I've listened in my whole life. The bartenders are friendly and Caroline is the best. They even have Fernet Branca on tap... first time I see something like that. Good beer selections and recommendations as well.\nThis place is a must if you visit the city. Keep rocking 🍺🍺"", 'time': '8 months ago'}, {'author': 'Steven Schwartz', 'rating': 4, 'text': 'A “old fashioned” punk bar but in a nice neighborhood with clean toilets. The place to  listen to the Sex Pistols with a heavily tattooed but friendly crowd.', 'time': '2 months ago'}, {'author': 'Senay Hasköy', 'rating': 4, 'text': ""I came here on the recommendation of a friend. The lady working at the bar was very polite and helpful. She was always interested when I asked for suggestions for a drink and answered my other questions about Finns without getting bored and had short conversations as well. A place I'll definitely visit again."", 'time': 'a year ago'}]"
